County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Allegheny,09/20/2021,2,2.4,2159,1216045,0.16,0.2,177.54,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/13/2021,4,4.3,2142,1216045,0.33,0.35,176.14,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/19/2021,2,2.7,2157,1216045,0.16,0.22,177.38,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/30/2021,5,4.7,2206,1216045,0.41,0.39,181.41,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/14/2021,1,4,2143,1216045,0.08,0.33,176.23,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/22/2021,2,3.6,2169,1216045,0.16,0.29,178.37,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/09/2021,5,2.7,2123,1216045,0.41,0.22,174.58,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/16/2021,2,3.3,2146,1216045,0.16,0.27,176.47,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/03/2021,6,5.9,2228,1216045,0.49,0.48,183.22,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/24/2021,4,4.3,2177,1216045,0.33,0.35,179.02,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/17/2021,1,2.4,2147,1216045,0.08,0.2,176.56,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/23/2021,4,3.9,2173,1216045,0.33,0.32,178.69,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/15/2021,1,3.7,2144,1216045,0.08,0.31,176.31,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/06/2021,1,3,2112,1216045,0.08,0.25,173.68,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/12/2021,5,3.9,2138,1216045,0.41,0.32,175.82,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/02/2021,7,5.3,2222,1216045,0.58,0.43,182.72,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,09/25/2021,8,4.3,2185,1216045,0.66,0.35,179.68,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/01/2021,9,5.4,2215,1216045,0.74,0.45,182.15,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/11/2021,3,6,2276,1216045,0.25,0.49,187.16,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/08/2021,5,6.4,2260,1216045,0.41,0.53,185.85,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/11/2021,1,0.6,2035,1216045,0.08,0.05,167.35,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/28/2021,5,2,2087,1216045,0.41,0.16,171.62,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,07/29/2021,1,0.4,2040,1216045,0.08,0.04,167.76,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/13/2021,10,6,2292,1216045,0.82,0.49,188.48,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/07/2021,5,7,2255,1216045,0.41,0.58,185.44,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/05/2021,6,6.3,2240,1216045,0.49,0.52,184.2,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/12/2021,6,6,2282,1216045,0.49,0.49,187.66,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/10/2021,5,6.4,2273,1216045,0.41,0.53,186.92,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/04/2021,6,6,2234,1216045,0.49,0.49,183.71,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/06/2021,10,7,2250,1216045,0.82,0.58,185.03,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/09/2021,8,6.6,2268,1216045,0.66,0.54,186.51,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,08/09/2021,3,1.9,2053,1216045,0.25,0.15,168.83,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/14/2021,6,6.1,2298,1216045,0.49,0.51,188.97,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/23/2021,6,5.1,2345,1216045,0.49,0.42,192.84,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/20/2021,4,5.3,2329,1216045,0.33,0.43,191.52,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/15/2021,5,6.1,2303,1216045,0.41,0.51,189.38,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/16/2021,6,5.9,2309,1216045,0.49,0.48,189.88,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/18/2021,2,5.9,2317,1216045,0.16,0.48,190.54,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/24/2021,6,5.1,2351,1216045,0.49,0.42,193.33,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/17/2021,6,6,2315,1216045,0.49,0.49,190.37,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/22/2021,7,5.1,2339,1216045,0.58,0.42,192.34,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/21/2021,3,4.9,2332,1216045,0.25,0.4,191.77,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/19/2021,8,6.1,2325,1216045,0.66,0.51,191.19,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/18/2020,0,2.3,416,1216045,0,0.19,34.21,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/11/2020,2,2.3,400,1216045,0.16,0.19,32.89,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/13/2020,2,2.4,403,1216045,0.16,0.2,33.14,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/14/2020,4,2.4,407,1216045,0.33,0.2,33.47,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/16/2020,1,2.1,412,1216045,0.08,0.18,33.88,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/21/2020,0,1.6,418,1216045,0,0.13,34.37,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/25/2020,1,1.4,426,1216045,0.08,0.12,35.03,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/28/2021,5,5.1,2368,1216045,0.41,0.42,194.73,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,10/09/2020,4,2.3,397,1216045,0.33,0.19,32.65,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Allegheny,04/29/2021,2,2.4,1937,1216045,0.16,0.2,159.29,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
